#    L    TT             EE             TE             PP             TP          
   248   0.535340E+04   0.215917E+01   0.597466E+02   0.185230E+07   0.164170E+04
   249   0.533678E+04   0.223527E+01   0.613420E+02   0.184380E+07   0.162784E+04
   250   0.531957E+04   0.231371E+01   0.629279E+02   0.183536E+07   0.161410E+04
   251   0.530192E+04   0.239417E+01   0.645048E+02   0.182698E+07   0.160047E+04
   252   0.528360E+04   0.247689E+01   0.660715E+02   0.181866E+07   0.158695E+04
   253   0.526498E+04   0.256163E+01   0.676263E+02   0.181040E+07   0.157353E+04
   254   0.524576E+04   0.264871E+01   0.691694E+02   0.180220E+07   0.156022E+04
   255   0.522603E+04   0.273782E+01   0.707007E+02   0.179406E+07   0.154702E+04
   256   0.520585E+04   0.282933E+01   0.722203E+02   0.178597E+07   0.153392E+04
   257   0.518523E+04   0.292279E+01   0.737199E+02   0.177794E+07   0.152092E+04
   258   0.516408E+04   0.301859E+01   0.752122E+02   0.176996E+07   0.150803E+04
   259   0.514249E+04   0.311658E+01   0.766824E+02   0.176204E+07   0.149524E+04
   260   0.512053E+04   0.321674E+01   0.781454E+02   0.175418E+07   0.148255E+04
   261   0.509805E+04   0.331902E+01   0.795789E+02   0.174637E+07   0.146995E+04
   262   0.507505E+04   0.342363E+01   0.810051E+02   0.173862E+07   0.145746E+04
   263   0.505190E+04   0.353035E+01   0.824166E+02   0.173092E+07   0.144507E+04
   264   0.502815E+04   0.363925E+01   0.838061E+02   0.172327E+07   0.143277E+04
   265   0.500389E+04   0.375027E+01   0.851662E+02   0.171567E+07   0.142056E+04
   266   0.497933E+04   0.386362E+01   0.865190E+02   0.170813E+07   0.140846E+04
   267   0.495425E+04   0.397894E+01   0.878424E+02   0.170064E+07   0.139644E+04
   268   0.492880E+04   0.409659E+01   0.891512E+02   0.169320E+07   0.138452E+04
   269   0.490284E+04   0.421629E+01   0.904380E+02   0.168582E+07   0.137269E+04
   270   0.487664E+04   0.433810E+01   0.917028E+02   0.167848E+07   0.136096E+04
   271   0.485001E+04   0.446195E+01   0.929456E+02   0.167119E+07   0.134931E+04
   272   0.482315E+04   0.458814E+01   0.941590E+02   0.166395E+07   0.133775E+04
   273   0.479584E+04   0.471607E+01   0.953579E+02   0.165677E+07   0.132628E+04
   274   0.476824E+04   0.484635E+01   0.965200E+02   0.164963E+07   0.131490E+04
   275   0.474027E+04   0.497845E+01   0.976676E+02   0.164254E+07   0.130360E+04
   276   0.471208E+04   0.511259E+01   0.987785E+02   0.163549E+07   0.129239E+04
   277   0.468344E+04   0.524878E+01   0.998748E+02   0.162850E+07   0.128127E+04
   278   0.465458E+04   0.538693E+01   0.100934E+03   0.162155E+07   0.127023E+04
   279   0.462543E+04   0.552699E+01   0.101965E+03   0.161464E+07   0.125927E+04
   280   0.459597E+04   0.566894E+01   0.102981E+03   0.160779E+07   0.124839E+04
   281   0.456637E+04   0.581287E+01   0.103960E+03   0.160097E+07   0.123759E+04
   282   0.453633E+04   0.595848E+01   0.104909E+03   0.159421E+07   0.122688E+04
   283   0.450613E+04   0.610598E+01   0.105830E+03   0.158749E+07   0.121624E+04
   284   0.447572E+04   0.625531E+01   0.106721E+03   0.158081E+07   0.120568E+04
   285   0.444508E+04   0.640647E+01   0.107583E+03   0.157417E+07   0.119519E+04
   286   0.441415E+04   0.655931E+01   0.108409E+03   0.156758E+07   0.118479E+04
   287   0.438300E+04   0.671383E+01   0.109213E+03   0.156103E+07   0.117445E+04
   288   0.435169E+04   0.687002E+01   0.109980E+03   0.155453E+07   0.116419E+04
   289   0.432017E+04   0.702783E+01   0.110717E+03   0.154806E+07   0.115401E+04
   290   0.428850E+04   0.718709E+01   0.111426E+03   0.154164E+07   0.114390E+04
   291   0.425668E+04   0.734856E+01   0.112091E+03   0.153525E+07   0.113386E+04
   292   0.422442E+04   0.751111E+01   0.112734E+03   0.152891E+07   0.112388E+04
   293   0.419231E+04   0.767438E+01   0.113332E+03   0.152261E+07   0.111398E+04
   294   0.415990E+04   0.783986E+01   0.113910E+03   0.151635E+07   0.110415E+04
   295   0.412756E+04   0.800605E+01   0.114443E+03   0.151012E+07   0.109438E+04
   296   0.409493E+04   0.817445E+01   0.114947E+03   0.150393E+07   0.108468E+04
   297   0.406223E+04   0.834283E+01   0.115422E+03   0.149779E+07   0.107505E+04
   298   0.402931E+04   0.851341E+01   0.115853E+03   0.149168E+07   0.106548E+04
   299   0.399639E+04   0.868546E+01   0.116248E+03   0.148560E+07   0.105597E+04
   300   0.396332E+04   0.885749E+01   0.116606E+03   0.147956E+07   0.104653E+04
   301   0.393018E+04   0.903098E+01   0.116935E+03   0.147356E+07   0.103715E+04
   302   0.389704E+04   0.920520E+01   0.117235E+03   0.146760E+07   0.102783E+04
   303   0.386382E+04   0.938088E+01   0.117491E+03   0.146167E+07   0.101857E+04
   304   0.383054E+04   0.955804E+01   0.117703E+03   0.145577E+07   0.100938E+04
   305   0.379725E+04   0.973518E+01   0.117886E+03   0.144991E+07   0.100024E+04
   306   0.376389E+04   0.991305E+01   0.118032E+03   0.144409E+07   0.991173E+03
